nmi.HCD.seq,nmi.HCD2.seq,nmi.sp.seq,ncl.NB.seq,ncl.HCD.seq,ncl.HCD2.seq,K.seq,coclust.HCD.seq,coclust.HCD2.seq,coclust.sp.seq,coclust.true.HCD.seq,coclust.true.HCD2.seq,coclust.true.sp.seq,coclust.false.HCD.seq,coclust.false.HCD2.seq,coclust.false.sp.seq,size.var,size.ratio,ncl.P.HCD,ncl.P.HCD2,ncl.P.sp,P.err.HCD,P.err.HCD2,P.err.sp,Scaled.FP.HCD,Scaled.FP.HCD2,Scaled.FP.sp,Standard.FP.HCD,Standard.FP.HCD2,Standard.FP.sp,bin.err.HCD.seq,bin.err.HCD2.seq,bin.err.HCD.P.seq,bin.err.HCD2.P.seq,bin.err.sp.P.seq,mega2.nmi.sp.seq,mega4.nmi.sp.seq,mega2.nmi.HCD.seq,mega2.nmi.HCD2.seq,mega4.nmi.HCD.seq,mega4.nmi.HCD2.seq,mega2.coclust.HCD.seq,mega2.coclust.HCD2.seq,mega2.coclust.sp.seq,mega2.acc.HCD.seq,mega2.acc.HCD2.seq,mega2.acc.sp.seq,mega4.coclust.HCD.seq,mega4.coclust.HCD2.seq,mega4.coclust.sp.seq,mega4.acc.HCD.seq,mega4.acc.HCD2.seq,mega4.acc.sp.seq,sp2.acc.seq,sp4.acc.seq,mega2.nmi.HCD.varimax.seq,mega4.nmi.HCD.varimax.seq,mega2.nmi.sp.varimax.seq,mega4.nmi.sp.varimax.seq,ncl.P.HCD.varimax.seq,ncl.P.sp.varimax.seq,P.err.HCD.varimax.seq,P.err.sp.varimax.seq,bin.err.HCD.varimax.seq,bin.err.HCD.varimax.P.seq,bin.err.sp.varimax.P.seq,mega2.coclust.HCD.varimax.seq,mega2.coclust.sp.varimax.seq,mega2.acc.HCD.varimax.seq,mega2.acc.sp.varimax.seq,sp2.varimax.acc.seq,mega4.coclust.HCD.varimax.seq,mega4.coclust.sp.varimax.seq,mega4.acc.HCD.varimax.seq,mega4.acc.sp.varimax.seq,sp4.varimax.acc.seq,nmi.HCD.varimax.seq,nmi.sp.varimax.seq,ncl.HCD.varimax.seq,id
1,1,1,4,4,4,4,1,1,1,1,1,1,0,0,0,0,1,4,4,4,2.65196646817556e-05,2.65196646817556e-05,2.65196646817556e-05,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,4,4,2.65196646817556e-05,2.65196646817556e-05,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,4,3
0.931230768384589,0.935382441654067,0.931908034935255,8,8,8,8,0.99292109375,0.9933802734375,0.992633984375,0.9717375,0.9735890625,0.97079375,0.00405267857142857,0.00379241071428571,0.00424598214285714,0,1,8,8,8,0.0153052937831194,0.0143113492494126,0.0157764135534844,0,0,0,0,0,0,0.00153223079004329,0.00143284124729437,0.00153223079004329,0.00143284124729437,0.00159437567640693,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,8,8,0.0153052937831194,0.0126975466059381,0.00153223079004329,0.00153223079004329,0.00126851663961039,1,1,1,1,1,1,1,1,1,1,0.931230768384589,0.941521103682083,8,3
0.821639305792603,0.823819712569334,0.754434122852414,11,16,16,16,0.982902734375,0.983121875,0.972237109375,0.8634375,0.86536875,0.786915625,0.00913291666666667,0.00902791666666667,0.015408125,0,1,16,16,16,0.0511732511898122,0.0504414352878374,0.0771861999493424,0,0,0,0,0,0,0.00383932880831699,0.00379860482641791,0.00383932880831699,0.00379860482641791,0.00764249622900322,0.99247432929296,0.986855183818147,1,1,1,1,1,1,0.9993751953125,1,1,0,1,1,0.9987521484375,1,1,0,1,1,1,1,0.832094811170095,0.884289377582664,16,16,0.0511732511898122,0.109612254801661,0.00383932880831699,0.00383932880831699,0.0346142533926083,1,0.9734861328125,1,0.9865625,1,1,0.9822720703125,1,0.9821875,1,0.821639305792603,0.721710442898455,16,3
0.63400315524819,0.64492316571332,0.483830153409397,9,17,17,32,0.9592875,0.9597369140625,0.9438779296875,0.81555625,0.8257125,0.58413125,0.0360760080645161,0.0359397177419355,0.0445173387096774,0,1,17,17,17,0.112603151895321,0.105966553553672,0.194499132411202,0,0,0,0,0,0,0.01627115885582,0.0141834380673882,0.01627115885582,0.0141834380673882,0.0547684910031336,0.877627862226424,0.850707603220968,0.99247432929296,1,0.980041431563361,0.993095388674425,0.9993751953125,1,0.9844970703125,0.9996875,1,0,0.9981283203125,0.99937578125,0.9803076171875,0.998125,0.999375,0,1,0.9978125,1,0.983442178382343,0.608163566299684,0.625226246033706,17,17,0.111854682321273,0.225252165342551,0.0157218424493765,0.0157218424493765,0.120899357463454,1,0.9203298828125,1,0.9584375,1,0.9984400390625,0.9312056640625,0.9984375,0.928125,0.9978125,0.634739521540657,0.477060934440233,17,3
0.468386900302409,0.477344856314019,0.295945978736612,8,17,17,64,0.9455986328125,0.946141796875,0.9351015625,0.6964375,0.7106125,0.3732375,0.0504464285714286,0.0501196428571429,0.0559799603174603,0,1,17,17,17,0.178951573801962,0.173494651100745,0.288371787367076,0,0,0,0,0,0,0.038925400250426,0.0371286405105326,0.038925400250426,0.0371286405105326,0.156461737062212,0.599097332355484,0.607256393730714,0.978815631995247,0.978815631995247,0.930856784398325,0.937195690749298,0.9981267578125,0.9981267578125,0.9168986328125,0.9990625,0.9990625,0,0.9919365234375,0.9928591796875,0.9270380859375,0.991875,0.9928125,0,0.9990625,0.9925,0.978815631995247,0.930856784398325,0.0724264738639679,0.34936864357892,17,17,0.178951573801962,0.326622020355639,0.038925400250426,0.038925400250426,0.333428808518962,0.9981267578125,0.5762939453125,0.9990625,0.6953125,0.9990625,0.9919365234375,0.826136328125,0.991875,0.8059375,0.993125,0.468386900302409,0.274372766240108,17,3
1,1,0.99654144353651,4,4,4,4,1,1,0.9996876953125,1,1,0.99937578125,0,0,0.000208333333333333,0,1,4,4,4,5.4618266215e-05,5.4618266215e-05,0.000636762944179349,0,0,0,0,0,0,0,0,0,0,8.33437578240409e-05,1,0.99654144353651,1,1,1,1,1,1,1,1,1,0,1,1,0.9996876953125,1,1,0,1,0.9996875,1,1,1,1,4,4,5.4618266215e-05,5.4618266215e-05,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,4,4
0.956419674100257,0.954796888836442,0.950959383465477,8,8,8,8,0.99597265625,0.99566796875,0.995358984375,0.983909375,0.9827125,0.98145625,0.00230401785714286,0.00248125,0.00265491071428571,0,1,8,8,8,0.00888174161974913,0.00953664372507347,0.0102106584670115,0,0,0,0,0,0,0.000871719426406927,0.000937669101731602,0.000871719426406927,0.000937669101731602,0.00100454883658009,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0.99654144353651,8,8,0.00888174161974913,0.0102817538175106,0.000871719426406927,0.000871719426406927,0.00110693993506493,1,1,1,1,1,1,0.9996876953125,1,0.9996875,1,0.956419674100257,0.951299459326919,8,4
0.815592943256171,0.824947467129427,0.738562129222229,10,16,16,16,0.9817529296875,0.9827560546875,0.9729765625,0.854371875,0.862553125,0.7858625,0.009755,0.00923041666666667,0.0145491666666667,0,1,16,16,16,0.0525336786417454,0.0492728605611679,0.0905487287360694,0,0,0,0,0,0,0.0038838235292808,0.00350912518841862,0.0038838235292808,0.00350912518841862,0.0126753393660884,0.967759968685811,0.947014450182753,1,1,1,1,1,1,0.9968798828125,1,1,0,1,1,0.9937783203125,1,1,0,1,1,1,1,0.882676928975582,0.89567852597073,16,16,0.0525336786417454,0.101824524367087,0.0038838235292808,0.0038838235292808,0.0267649698333997,1,0.9851125,1,0.9925,1,1,0.986955859375,1,0.986875,1,0.815592943256171,0.726310277061987,16,4
0.638560042253672,0.651664677608854,0.516040081525304,8,16,16,32,0.958278515625,0.959326171875,0.94480859375,0.833025,0.85108125,0.65711875,0.0376810483870968,0.0371820564516129,0.0459110887096774,0,1,16,16,16,0.106678891137751,0.100864811750239,0.176453311714413,0,0,0,0,0,0,0.0146498881919597,0.0140461178114748,0.0146498881919597,0.0140461178114748,0.0446869692633578,0.861323402608997,0.850492229196984,1,1,0.991131750504582,0.991131750504582,1,1,0.9820392578125,1,1,0,0.9990642578125,0.9990642578125,0.9808857421875,0.9990625,0.9990625,0,1,0.9990625,1,0.991131750504582,0.116618228673173,0.616590244801593,16,16,0.106678891137751,0.237701204781353,0.0146498881919597,0.0146498881919597,0.132477532001148,1,0.6009689453125,1,0.7246875,1,0.9990642578125,0.9257541015625,0.9990625,0.9221875,0.99875,0.638560042253672,0.464577524731957,16,4
0.473302824665112,0.489093698284781,0.300617901327308,8,16,16,64,0.944216796875,0.9447185546875,0.9315982421875,0.716725,0.7479,0.405575,0.0521722222222222,0.0521573412698413,0.0600521825396825,0,1,16,16,16,0.171830535931249,0.164702207182513,0.28312629641472,0,0,0,0,0,0,0.0378593724378124,0.0368843574112928,0.0378593724378124,0.0368843574112928,0.150954592644121,0.61106249257543,0.623929523140871,0.973123204441524,0.97266466449834,0.936640688897212,0.932645990826404,0.997503125,0.997503125,0.9203298828125,0.99875,0.99875,0,0.992858984375,0.992244140625,0.9285869140625,0.9928125,0.9921875,0,0.99875,0.9909375,0.97266466449834,0.936640183080388,0.333415270606975,0.289937651128392,16,16,0.172349527652636,0.307545893817929,0.0379678364561809,0.0379678364561809,0.301140784640804,0.997503125,0.8042,0.99875,0.89,0.99875,0.99285859375,0.7883732421875,0.9928125,0.666875,0.9909375,0.472700898603757,0.293442611020651,16,4
